band_abbrev_old,band_abbrev
*gd,gd
#NAME?,notband
#NAME?,notband
_slash_high voltage,slash
a,
a certain ratio,
a flock of seagulls,
a perfect circle,
a side,
a-beez,
a-to have and to have not,
a_christmas_celtic_sojourn,
aaronleetasjan,
ab,
abc,
abdullah ibrahim and ekaya zuerich,
abigail washburn and bela fleck,
ac,
ac-dc_nov,
ac-disc,
ac_dc,
accept,
acceptsb,
acdc,
acdcamsterdam,
ace frehley,
acefrehley,
achinghearts,
acid mothers temple,
acoustic,
acoustic strawbs,
acquired as stand-alone flac stereolab-colchester arts centre,
acquired as stand-alone flac stereolab-manchester university,
ad,
adam,
adamcarroll.brianrung,
adamezra,
"adele,st jordi",
adolescents,
adrian legg,
ae,
aeg,
aerosmith oracleworld,
af,
afghan whigs,
afghan whigs - leeds,
afl,
afl & low riders royal albert hall london england june,
afrolachia,
ag,
against me,
agd,
agents of good roots,
agnesobel,
ah,
aharding,
ahleuchatistas,
ahmad jamal,
ahmaljamal,
aia_d,
aic,
aimee mann,
aimee mann christmas,
aimee mann_christmas,
air supply,
aj,
ak'chamel,
akashicrecord,
akus,
al green,
al kooper,
al stewart,
al_dimeola,
alabamashakes,
alain johannes gamh sf ca,
alam khan,
alan parsons,
alanmuiz,
alanparsons,
alarm norwich,
albert lee,
albertcastiglia,
albion band easter garland,
aldous harding,
alejandro escovedo,
alejandroescovedoband,
alex,
alex chilton,
alexchilton,
algreen,
alice cooper - august,
alice in chains,
alicecooper,
alicecooperffm,
alicecooperludwigsburg,
aliceinchains,
alison brown,
alison krauss & union station,
alisonbrown,
alisonbrownquintet,
alisonkrauss,
alisonkraussunionstation,
alkatraz,
all about chad,
allan.taylor,
allison crutchfield and the fizz,
allisonau,
allisterlob,
allyvenable,
allyveneble,
alo,
alpert,
alphaville,
alstewart,
alt j,
alt-j,
alter bridge,
alterbridge,
alvvays,
am,
amanda,
amberiandawnfemme,
amboy dukes,
amenra,
america,
americanaquarium,
aminafigarova,
amparanoia,
amyhelm,
amyray,
ana popovic,
analogues,
anamanaguchi,
anapopovic,
anapopovicbensheim,
anapopovoc,
anders,
anders+jackie,
andersosborne,
andres,
andrew gibb & scottish dance band,
andy frasco,
andy irvine - hamburg,
andy m stewart,
andyfalco,
angeille des manteaux,
angelicupstarts,
angelnationmannheim,
angus & julia stone,
ani difranco,
ani difranco zellerbach berkeley ca,
anidifranco,
animal_collective,
anita baker_wembley arena,
anl,
ann wilson,
anne marie,
anne.mccue,
annekefemme,
annihilator,
ansh,
anthony joseph,
anthrax,
antibalas,
antonschwartz,
anvil,
ao,
aojg,
ap,
apatt,
apc,
apiedinudiprogday,
"apple, fiona",
aquaserge,
aqueous,
ar,
arabstrap,
aranis,
arc_angels,
arcade fire,
archenemy,
archenemymunich,
archenemysb,
archenemystuttgart,
archie,
arctic monkeys,
argos,
arlanfeiles,
arlo,
arlo guthrie,
arloguthrie,
art garfunkel,
artblakey,
artblakey-philadelphia,
arturo o'farrill quartet,
aru,
arw,
as,
as the years go passing by,
ash-holmfirth picturedrome,
ashcroft,
ashesofareslangen,
asleep at the wheel,
asmodi bizarr,
astor piazzolla,
astorpiazzollaqnttangonuevo,
atdi,
atlanta,
atlantis,
atmosphere,
atrack,
attwenger,
atw,
aubreyhaddard,
audacity,
audioslave,
audrey_harrer,
auger bbc,
"auger, brian",
australian pink floyd,
autobahn,
av,
avett,
avettbros,
aveytare,
avibortnick,
avishaicohen,
aynsley lister_sale,
ayr-d,
azigzaprogday,
azureray,
aï¿½,
b,
b.cockburn,
baba zula ebar cd,
babesintoyland,
baby in vain,
bach - sonatas for solo violin - julia fischer,
bad,
bad avenue,
badbrains,
badco,
baez,
baez essen,
bananaslugstringband,
band,
band of holy joy,
band of horses,
bandcompetitionfinals,
banjocontest,
baobab chiasso,
bardo_pond,
barnes,
barrbros,
barrington_levy,
barrymelton,
bathtubgin,
"battiato, franco",
battlefield,
bauhaus,
bawninthemash,
baxter dury,
bazzookas,
bb,
bb_jh,
"bbc con orch in queen friday night, at the opera",
bbcso,
bbf,
bbfl,
bbgwpart,
bbking,
bbking granada,
bbking valencia,
bbragg,
bbs,
bbs-oct-man,
bc,
bcl,
bcockburn,
bd,
bd july,
bd-nov,
bd_ccv,
bd_riems,
bdbb,
bdltd,
bdm,
bdylan,
beach house,
beachboys,
beans on toast,
bear s den,
bear's den,
beardfishprogday,
bearly,
bearsden,
beastie boys,
beastie boys - manchester evening news,
beatsantique,
beck,
beck - august,
bedouine,
beethoven_paavo jaervi_sept,
behemoth phoenix,
belafleck,
belafleckandtheflecktones,
belinda carlisle,
bell,
belle & sebastian,
belle and sebastian,
belle game,
belle_sebastian,
bellringer,
ben folds,
ben harper,
benefit for anya phillips,
benjaminbooker,
benjaminclementine,
benny green,
benoit,
berlin,
bermuda triangle,
berniemarsden,
bernietorme,
berniew,
"bert jansch,paul millns,nigel portman-smith",
best coast fox theater oakland ca may,
beth ditto,
beth hart,
betse&clarkewiththeachinghearts,
bevis frond,
beyondgodfemme,
bf,
bfeck&ccorea,
bff,
bfft,
bg,
bh,
bhic,
bht,
bicep,
biffy clyro,
big,
big audio dynamite,
big business - boulder co,
big country,
big sam's funky nation,
big star,
big thief,
big.daddy.wilson,
bigbernie,
bigbraziliancheese,
bigfoot,
bigfootyancy,
bigsomething,
bigtime,
bill.wyman & the.rhythm.kings,
bill_morrissey,
billkirchin,
billm,
billposs,
billy joel,
billy joel - november,
billy martin wicked knee,
billy_bright,
billybragg,
billycobham,
billyjoel,
billystrings,
billywylder,
birch,
birdcity,
bit d,
bitchin' bajas,
bjbarham,
bjm,
bjoel,
bjthomas,
bk,
bl,
black,
black box revelation,
black dog,
black mountain,
black sabbath bayou city theater houston texas march,
black sabbitch,
black top,
black_angels,
black_art_jazz_collective,
black_sabbath,
blackangels,
blackberry,
blackcrowes,
blacklillies,
blacklung,
blackmountain,
blacksabbitch,
blackuhuru,
blackwaters,
blas,
blasters,
bleachers,
blindboys,
blitzentrapper,
blj,
blondie,
bloodkin,
blowbyblow,
blue,
blue collar man,
blue_heron_choir,
bluerose,
blues,
blues pills,
bluesp,
bluespills,
bmarsalis,
bmc,
bmm,
bmw,
bo ningen,
bob,
bob & carol pegg,
bob dylan,
bob dylan  greek theater  berkeley,
bob dylan - augusta,
bob dylan - genoa,
bob dylan - gulf coast highway_disc,
bob dylan - lewiston august,
bob dylan - october,
bob dylan - track,
"bob dylan greek theater berkeley, ca",
bob dylan shoreline oct,
bob marley & the wailers,
bob marley + wailers,
bob marley - is this love - mono -mixdown,
bob marley - lively up yourself - mono mixdown,
bob marley - no woman no cry - mono mixdown,
bob pegg,
bob pegg & nick strutt,
bob pegg & tim souster,
bob welch,
bob.dylan,
bobbykeys,
bobdylan,
bobdylan-jonesbeach,
bobseger,
boc,
bodylan,
boh_billydee,
bol,
bon iver,
bon jovi,
bonamassa sellersville,
bonarama,
bonerama,
bongripper - denver co,
bonnie raitt,
bonnie raitt  civic auditorium  santa cruz,
bonnie raitt luther burbank auditorium,
bonnie_raitt,
bonnieraitt,
bonus track,
bookert,
boom tic boom,
bootsy,
borisgarcia,
bostonchamberms,
bostonpops,
bostonso,
bostonso_chamber_players,
bottlerockets,
boubacartraore_chiasso,
bowthayer,
box,
boyziimen,
bpb,
br,
bradmehldauchristhile,
brain surgeons,
brandi carlile,
brandnew,
brandx,
branfordmarsalis,
brant_bjork,
brantbjork,
breeders,
breeders-last_splash_demos,
brettdennen,
brian,
brian may band,
brian paramount,
brian setzer,
brian wilson,
brianblade,
briandowney,
briansancesband,
briansetzer,
brianwilson,
british sea power,
british sea power - dunfermline,
british sea power-focus wales wrexham central station,
brix and the extricated,
brixandtheextricated-glasgow,
broken social scene,
broken_windows_d,
bromberg,
bromberg ultrasonic,
brothergrimm,
brotherroy,
brothersmccann,
brothersosborne,
brothersun,
browne,
"browne, jackson",
browstein,
brox,
bru,
bruce,
bruce cockburn,
bruce izod,
bruce philly night two tk,
bruce springsteen,
bruce springsteen- antwerpen,
bruce.cockburn,
bruce.sudano+hbrs,
brucebartletttrio,
brucecockburn,
brucehornsby,
bruces,
brucespringsteen,
brutus,
bs,
bsojc,
bspear,
bss,
bst,
bt-disc,
bt-jl,
btalcbigband,
btb,
bts,
buckethead,
buckingham mcvie,
"buckley, jeff",
buckwheat zydeco,
buckwheatzydeco,
buddy guy,
buddy guy marin civic center nov,
buddy guy wuth eric clapton the limelight,
buddyguy,
buddymillerandjimlauderdale,
buddywhittington,
budgie bierkeller bristol,
budosband,
budwig,
buffalo_tom,
buffalotom,
buick,
bunyan,
burnett,
bush tetras,
buster poindexter,
butchtrucks,
buzzcocks,
bvcombo_xmas,
bvox,
bw,
bweir,
byrds bloomington,
bz,
c,
ca,
cabbage,
cabinet,
cactus,
cage the elephant,
califone,
californiahoneydrops,
camel,
cameroncarpenter,
camper,
camper van beethoven,
campervanbeethoven,
can,
candlebox,
canned heat,
cantata_singers,
caravan,
caravan - record plant,
cardiacs - stonehenge,
cardinals,
carla bley,
carlanderson,
"carlton, larry",
"carmen, eric",
carney+richardson,
carneyballjohnson,
carolynwonderland,
carrie_rodriquez,
cartwrightzorndick,
cashdout,
cask strength ceilidh band,
casper,
casualties,
catfish & the bottlemen - edinburgh,
cats,
cavesingers,
cbb,
cbradley,
cc,
ccr berlin,
cd,
cd track,
cdb,
cdbdb,
cdg best buy,
cdg chicago sbd,
cdimage,
cdo,
ce,
ceciltaylor,
celibate rifles,
celso pina,
cf,
cfj ff,
cgb,
cgm,
ch,
chameleons vox,
chameleons vox-clitheroe grand,
chameleons vox-manchester ritz,
chameleons vox-sheffield plug,
chantal acda,
chanticleer,
charles bradley,
charles pasi,
charlesbradley,
charlie,
charlie puth,
charlie_musslewhite,
charliedaniels,
charliehunter,
charliehuntertrio,
charliemusselwhite,
charlieparr,
charming liars,
chasca,
cheap trick,
cheap trick phoenix,
cheaptrick,
cheer accident,
cheickhamaladiabate,
chelsea,
cherry glazerr commodore ballroom vancouver bc,
chic,
chic & nile rodgers,
chic and nile rodgers,
chicago transit authority - fillmore west d,
chicagofarmer,
chicanobatman,
chiccorea,
chick corea,
chickcorea,
chickenshack,
child,
chip,
chip taylor,
chris,
chris hillman and herb pedersen,
chris rea,
chris robinson brotherhood,
chris squire,
chris whitley - live seattle-fm,
chris_smither,
chrisfarlowe,
chrisisaak,
chrisrobinson,
christian scott,
christinebalfaandbalfatoujours,
church,
churchofmisery,
cigarettes after sex,
cinemechanica,
cipollina,
circle jerks,
circlejerks,
circusnine,
city of lights - stevie ray vaughan,
cj,
cjb,
cjfish,
cjm,
cl,
clairelynchband,
clan,
clap your hands say yeah,
clapton,
"clapton, eric",
clapton_double_layla,
clapton_final_chapter,
clarence_white_t,
clarkegilby,
clash,
clean bandit,
clegg,
cleveland orchestra,
cleveland_orchestra,
clevelandorchestra,
cliff_louise,
cliffrichard,
clinic,
clive gregson & liz simcock,
close lobsters,
clubdelf,
cm,
cn,
coalboilers,
cob,
cobain_old-age,
cockburn,
"cockburn, bruce",
coco,
coco montoya,
cody,
coldwarkids,
colin donaldson scottish dance band,
colinhay,
colinjames,
collier,
collins-sefton-sheehey,
colmar,
colour haze,
colourflow,
colter wall,
commandercody,
common kings,
commonkings,
comsat angels,
conbrio,
conor oberst,
conor oberts,
conor_oberst,
consciouspilot,
considerthesource,
cook,
cop killer,
copperhead,
cordovas,
corea gadd,
coreagadd,
corey,
corgan,
cosmicdead,
cotw_pe,
country joe & electric music band,
countryboys,
court and sparks band,
courtney barnett & kurt vile,
coy,
cp,
cracker,
cradleoffilth,
cranberries,
crash test dummies,
crashtestdummies,
crawl,
crb,
cream_psychedelic_circus,
credenceclearwaterrevisited,
creeps fr -jazzhaus  may,
crippledblackphoenix,
crippledblackphoenixffm,
cris,
crisjacobs,
crobinson,
crosa rosa,
"crosby, pevar, and raymond",
crosscurrents,
crossingmuddywaters,
crowded house womad sf ca sep,
croydon,
crycrycry,
crycrycrywks,
cryptical,
cs,
csn,
csny,
cspedding lsc,
ct,
ctd,
ctr,
cubensis,
cue,
cult,
cult of luna with julie christmas - las vegas nv,
cultureclub,
cure,
curtis harding,
curved air,
custardpies,
cvb,
cville,
cycles,
cyndi lauper,
czukay holger,
d,
d perez - j patitucci - t l carrington talk,
d+t,
d-a-d,
da,
dac,
dacaptaintrips,
damian marley,
damianwilsonffm,
damianwilsonreichenbach,
damnationsday,
damo,
damosuzuki,
dan,
dan hicks & hot licks,
dan reed network,
danakil,
danbaird,
danbairdshomemadesin,
dandywarhols,
dangermuffin,
dangers of the sea,
danhick,
danhicks,
daniel johnston with the districts & modern baseball,
danielle nicole band,
dankojones,
dannyburns,
dantemuenchen,
danzer,
dap,
dariusrucker,
dark star,
dark star orchestra,
darkbuddharising,
darlene love   stern grove festival,
darlingside,
darrin,
"daryl hall & john oates - het vondelpark, amsterdam",
dat,
daughter,
dave & jimmie,
dave holland,
dave holland quintet,
dave holland trio; november,
dave mason,
davealvin&friends,
davell crawford,
davemason,
davepirner-and-ryansmith,
david,
david byrne,
david grisman birthday bash,
david johansen,
david lee roth,
david lindley dunsmuir house oakand ca aug,
david.knopfler,
david_gans,
davidcrosby,
davidgrisman,
davidgrismansextet,
davidlanglois,
davidmccrackenandfriends,
davy,
davyknowles,
dawes,
day,
db,
db+nf,
dbb,
dbnf,
dbt,
dc,
dd,
de-sf,
dead,
dead boys,
dead can dance,
dead cross,
dead cross_denver co,
dead kennedys,
deadaffect,
deadandco,
deadboys,
deadco,
deadmilkmenfix,
deadphish,
deadsoultribe,
deafheaven,
deanmonkey&thedropouts,
deantoniparks,
death angel,
death from above,
death valley girls astoria hotel vancouver bc,
deathvalleygirls,
dec,
dee snider,
dee_dee_bridgewater,
deeexpus,
deep banana blackout,
deep purple,
deep purple - august,
deep purple - no,
deeppurple,
deerhoof,
degregori,
dejafuze,
del,
del-dawg,
delbertmcclinton,
deldawg,
delf,
delivery - bbc sunday concert,
delivery - brighton,
delivery - music in the moat,
dellamae,
delmccoury,
delta deep phil collen,
delta rae,
demi lovato,
demos,
denguefever,
depeche mode,
depeche_mode,
depechemode,
depedro,
der nino aus wien,
dermot kennedy - manchester,
desperate journalist,
detective,
detroit,
devil makes three,
devilmakesthree,
devonallman,
df,
dfa,
dftm,
dg,
dgbe,
dgjl,
dgq,
dhakabrakha,
dharper,
dhicks mfp,
dhidalah,
dhjo,
dhol,
dianereeves,
dich,
dick gaughan,
dick valentine,
diehartjungs,
diet cig,
different_degrees_d,
digarhythmband,
dillon,
dinojr,
dinosaur jr,
dinosaur jr_denver co,
dinosaur_jr,
dinosaurjr,
dio,
dire straits,
dirkschneiderhanau,
dirtysoundmagnet,
disc,
discobiscuits,
disctwotrack,
divine_comedy,
dixiedregs,
dizgo,
dj,
django django,
djr,
dk,
dkcols.flacs/kcolst,
dl,
dl+rc,
dl+wi,
dls,
dm,
dm+tr,
dmb,
dmd,
dmh lsc,
dmo,
dnb,
dnc,
docw,
dodgy,
doll skin,
donna,
donnathebuffalo,
donovan,
donovan  regency ballroom  sf,
doobie bros-botanic park,
doobie brothers,
doobie brothers shoreline amphitheater jun,
doobiebrothers,
dookie,
dopapod,
dorifreeman,
doris.brendel,
doroka,
doromuenchen,
doyle bramhall ii,
doylebramhallii,
dp,
dpu,
dpullen,
dr,
dr john,
dr lonnie smith,
dr. john,
dr.john,
dragondeer,
dragonsmoke,
dragonsmole,
dream syndicate  the independent,
dreamsyndicate,
dreamtheater,
dri - october,
driftwood,
drivebytruckers,
drivin,
drivinncryin,
drjohn,
drjohn - june,
drkay,
drm,
drpt,
drums,
dry branch fire squad,
ds,
dso,
dt,
dtb,
dtb-disc,
duarte-bailey-sipe,
dubapocalypse,
duff mckagan,
dumpstaphunk,
dungen,
dw,
dw+jl,
dweezil zappa,
dweezilzappa,
dwight yoakam,
dwight yoakam band,
dwightyoakam,
dwl,
dy,
dylan,
dylan - exclusive series,
dylan - restless hungry feelings_disc,
dylan essen,
dylan hh,
dylan-mai,
dylan_aalborg,
dylanbm,
dylanspokane,
e,
e&b,
eagles,
earls,
early set,
early show,
earsight,
earth,
earthless,
earthless_denver co,
earthlingsociety,
eastfield,
easyleaves,
eatb,
eb,
eb_nac,
ebnb,
ec,
ec - american tour,
ec - hideaway,
ec-msg,
echolynprogday,
ecsw izod arena east rutherford nj,
ecsw lg arena birmingham may,
ecsw mgm grand arena las vegas,
ecsw oracle arena oakland ca,
ecsw wachovia center,
ecsw wembley arena london england may,
ed sheeran,
ed&jh-wbcn-boston,
edd,
eddie and the hot rods,
edgar broughton,
edgar winter band - august,
edgarmeyerchristianmcbride,
edgarwinter,
edguyffm,
edie brickel & the new bohemians  zellerbach aud berkeley ca apr,
editors,
edsheeran,
ee,
eekamouse,
eels live,
ef,
eg,
eh,
eilenjewell,
eisbrecherwi,
ej,
ek+tsb,
elastica,
elbow,
elbuho,
elder,
elder - edinburgh,
electricbeethoven,
elephantrevival,
eliza carthy & wayward band,
elizabeth,
elizabeth cook,
elizabethcook,
ella eyre,
ellen andrea wang,
elliottsmith,
elo,
elohim,
elp,
elten,
elton john,
elton john - rocket man d,
elton john_earls court,
elvin bishop,
elvin_bishop,
em,
em antequera,
em estepona,
em malaga,
em proms,
ema,
ema fox cabaret vancouver bc,
embryo,
embryo+stromsession,
"emilly remler boston, ma",
emily,
emily haines and the soft skeleton chan centre  vancouver bc,
emily saliers,
emilybarker,
emisunshine,
emmy lou harris & spyboy,
emmylouharris,
encores,
endlessboogie,
englishbeat,
ensemble hesperi,
ensemble-ruth_lomon-tr,
eo,
eodm,
epicakã¶ln,
epicamuenchen,
eric,
eric clapton,
eric gales,
eric sardinas,
ericbachmann,
ericburdon,
erickrasno,
ericlindell,
erikjekabson,
ernesto bladden iv kpri,
err,
es-cw,
esben and the witch,
esmz,
esp,
etatmb,
ethan iverson,
etown,
etta_james,
evan_dando,
evanescence,
evanescence midland theatre kansas city missouri april,
everclear,
evergreyffm,
everyoneorchestra,
everyonesdead,
evidence_d,
evildead,
evol,
ew,
exene cervenka & john doe,
existem,
eyehategod_denver co,
f,
fabfaux,
fairport convention,
fairport.convention,
faith no more,
fall,
fall-roskilde,
fantasticnegrito,
far,
farcornerprogday,
fastball,
fastway,
fat freddys drop,
fatherjohnmisty,
fats,
faust,
fc,
fc ag,
fear,
feist,
felice brothers,
felicebros,
felicebrothers,
fertilehump,
ff,
fg,
fh,
fhbb,
field music,
field_music,
fields of the nephilim,
fijimariners,
fink,
fionaapple,
fionaapple+sherylcrow,
firehose,
firewindspeyer,
